trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.9, 'e': 0.6369999999999997}",25,15,9.086023301973198,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.9, 'e': 0.6339999999999997}",20,6,-109.02089005896248,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 2}",1
123,False,"{'a': 0.9, 'e': 0.6309999999999997}",35,0,-125.70670385903549,"{0: 24, 1: 4, 2: 5, 3: 0, 4: 2}",0
124,False,"{'a': 0.9, 'e': 0.6279999999999997}",25,15,3.351922431762049,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.9, 'e': 0.6249999999999997}",30,0,-68.51171824349012,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
126,False,"{'a': 0.9, 'e': 0.6219999999999997}",30,0,-80.96136146881462,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
127,False,"{'a': 0.9, 'e': 0.6189999999999997}",30,0,-141.5318897515896,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
128,False,"{'a': 0.9, 'e': 0.6159999999999997}",30,7,-43.24505114077696,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
129,False,"{'a': 0.9, 'e': 0.6129999999999997}",30,3,-42.953561774424664,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 0}",1
130,False,"{'a': 0.9, 'e': 0.6099999999999997}",25,0,-130.24500185475443,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
